system:index,area_ha,end,period,start,threat,.geo
1_1_2_0,2.815651583377407E7,2005.0,2001.0_2005.0,2001.0,CR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_1,2.7044365844548643E7,2010.0,2006.0_2010.0,2006.0,CR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_2,2.5659001152445283E7,2015.0,2011.0_2015.0,2011.0,CR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_3,2.4615715065794084E7,2020.0,2016.0_2020.0,2016.0,CR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2_4,2.4191720342647176E7,2024.0,2021.0_2024.0,2021.0,CR,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,2.830507649378585E7,2005.0,2001.0_2005.0,2001.0,EN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,2.7185282035896227E7,2010.0,2006.0_2010.0,2006.0,EN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,2.5783955616304945E7,2015.0,2011.0_2015.0,2011.0,EN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,2.4729684110965546E7,2020.0,2016.0_2020.0,2016.0,EN,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,2.4302832726954892E7,2024.0,2021.0_2024.0,2021.0,EN,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,2.8316225668846138E7,2005.0,2001.0_2005.0,2001.0,VU,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,2.7196229108593993E7,2010.0,2006.0_2010.0,2006.0,VU,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,2.5794581526872013E7,2015.0,2011.0_2015.0,2011.0,VU,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,2.4739621107130576E7,2020.0,2016.0_2020.0,2016.0,VU,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,2.431249947809669E7,2024.0,2021.0_2024.0,2021.0,VU,"{""type"":""MultiPoint"",""coordinates"":[]}"
